10	-50.59544906	-1.570796327
20	-49.50829582	-1.545663586
50	-42.07607442	-1.570796327
100	-36.68581553	-1.570796327
200	-30.71203994	-1.608495439
500	-22.82658306	-1.570796327
1000	-16.97062432	-1.583362697
2000	-11.0105535	-1.583362697
5000	-2.895246573	-1.570796327
10000	3.029375683	-1.570796327
20000	10.59329469	-1.507964474
50000	15.76140631	-1.665044106
100000	21.41162149	-2.199114858
200000	15.53459326	-4.649557127
500000	5.848596478	-4.71238898
1000000	-0.354575339	-5.026548246
2000000	-6.020599913	-5.654866776
